,codigo,cobacia,cocursodag,q95,knnr_intervalo_i,knnr_intervalo_f,knnr_qtde_dados,knnr_desvio_padrao,knnr_media,knnr_media_lower_bound,knnr_media_upper_bound,knnr_mediana,knnr_mediana_lower_bound,knnr_mediana_upper_bound,knnr_moda,knnr_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,1.8382800000000008,26.553175,216,7.312087058942361,8.657859305555556,7.778232534529321,9.606354563271605,4.430713333333334,4.430713333333334,4.430713333333334,4.430713333333334,1
"(40032000,)","(40032000,)",76999351,76,7.1585,2.517280000000001,12.606313333333333,208,3.638114517506389,4.664275801282051,4.200110935096154,5.150787414463141,3.717333333333333,3.4238800000000005,3.7992666666666666,2.6276266666666666,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,2.6276266666666666,20.95223466666663,187,5.619386876545624,7.3223617825311935,6.55159711385918,8.09702298016934,4.522166666666666,4.146780000000001,4.632513333333333,3.6344600000000002,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,1.924133333333333,26.501966666666664,182,7.431496281477642,8.63685597069597,7.57857354029304,9.739469698031135,4.9164466666666655,4.632513333333333,5.428766666666665,4.632513333333333,0
"(40050000,)","(40050000,)",7699733,76,30.2281,2.6276266666666666,33.17876666666667,199,11.094071226672009,15.360817236180905,13.7877033760469,17.021512415410385,16.092893333333333,16.092893333333333,16.88914666666667,16.092893333333333,1
"(40053000,)","(40053000,)",76997231,769972,0.4344,1.4616999999999998,20.160533333333333,201,5.4393406810435065,6.869630199004975,6.1463974925373135,7.690488509535656,4.917966666666667,3.7574,5.6046000000000005,2.954266666666667,0
"(40060001,)","(40060001,)",76996713,76996,4.138,2.362489333333334,13.56808933333332,189,3.4606716701126756,5.040546701940036,4.594288392195766,5.58794495436508,4.001266666666666,3.771333333333333,4.430713333333334,3.6344600000000002,1
"(40070000,)","(40070000,)",7699531,76,44.5338,2.1885,64.703424166666,218,25.84329633394585,21.509678432721717,18.54472410703364,25.23768334327217,18.459556666666668,16.513866666666665,21.375379999999996,27.102256666666666,1
"(40080000,)","(40080000,)",7699435,76994,1.06597,2.1885,41.59153333333334,209,13.254169407398106,17.85183432216906,16.115289985047845,19.54667496969697,17.1826,13.0907,18.25776666666667,3.771333333333333,0
"(40100000,)","(40100000,)",7699139,76,50.0127,2.1885,178.79693333333336,211,54.620866789086406,32.152969415481834,25.665366620063192,39.69594161058451,21.48402333333333,18.5565,25.2719,25.275956666666662,1
"(40150000,)","(40150000,)",769891173,7698,7.8011,3.1383666666666663,26.892444166666667,208,6.664647538197893,13.816080288461539,12.900298585737179,14.747453830128205,13.646133333333331,9.904833333333334,15.054866666666667,9.904833333333332,1
"(40170000,)","(40170000,)",769883,76988,2.2915,0.7989066666666665,20.44761666666667,191,5.696591679021849,6.834439755671902,6.09771730366492,7.598408426701571,4.298933333333333,4.184966666666667,5.593933333333332,4.298933333333333,1
"(40185000,)","(40185000,)",7698815,76988,4.6613,1.05398,23.899266666666673,185,6.644725295808594,8.548977837837837,7.6233170045045044,9.504006684684686,7.8199,4.803999999999999,9.1149,3.5090000000000003,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,0.1360066666666665,12.229523333333344,205,3.3985818820436458,1.8761169105691058,1.4395144918699183,2.369064708130081,0.803,0.803,0.803,0.2066066666666665,1
