,codigo,cobacia,cocursodag,q95,LinearRegression_intervalo_i,LinearRegression_intervalo_f,LinearRegression_qtde_dados,LinearRegression_desvio_padrao,LinearRegression_media,LinearRegression_media_lower_bound,LinearRegression_media_upper_bound,LinearRegression_mediana,LinearRegression_mediana_lower_bound,LinearRegression_mediana_upper_bound,LinearRegression_moda,LinearRegression_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,-48.54259361979329,35.34643011413043,216,6314952901971.303,-385783976594.509,-1288143567163.875,138695571787.6674,-5.164006234134774,-8.973895943602454,-1.8456919100346454,-92148069800270.0,1
"(40032000,)","(40032000,)",76999351,76,7.1585,-48.57220126232471,37.442239597066404,208,4104313417776.094,344984451544.941,-109535965514.22704,960070929131.5378,-5.036046385947863,-10.329610660381391,-2.2896683230536823,-17676270065695.35,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,-54.57493835502421,44.797548621779946,187,3409714760316.057,302046523922.85254,-141473847645.09625,838232322357.9019,-5.991569809492205,-8.827546678889652,-2.7482763132511963,-19324254568361.996,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,-2340744525299.213,37.29887346216033,182,7820886410339.478,-914815017936.3245,-2268864750722.5933,-31354412737.717598,-3.0271010750816814,-5.888291761242807,2.318862859824518,-92352355681062.38,1
"(40050000,)","(40050000,)",7699733,76,30.2281,-33.44641835865426,68.27827492884805,199,3230075526094.5986,-241334086754.20892,-789742532572.2019,102174907833.45897,12.952647262667128,8.123364685088688,17.55773967788008,-40769693453730.12,1
"(40053000,)","(40053000,)",76997231,769972,0.4344,-1766303907610.8484,46.691067500461585,201,4237498513161.7817,29049209509.799538,-592771052300.9418,585915854742.4664,0.7319477354144936,-3.4351490334143335,3.1990416863403794,-43404172503190.12,1
"(40060001,)","(40060001,)",76996713,76996,4.138,-623494826859.2185,8057800139597.923,189,5142379777136.737,50148787982.552704,-675231493904.8933,788346604088.9388,-4.800975455440337,-9.72441758420959,0.344124048419161,-51560303063364.23,1
"(40070000,)","(40070000,)",7699531,76,44.5338,-29.502994212829602,101.86791548839575,218,2009065374968.565,-227257103769.91962,-513863646705.6277,-20364731614.48952,30.8836960761687,25.768923763208754,36.09694128465624,-23362459375492.94,1
"(40080000,)","(40080000,)",7699435,76994,1.06597,-2657687013158.507,41.61363967987033,209,6835927510514.855,-607669609032.8031,-1784392217940.2627,83827469823.07938,-0.42270181224296266,-3.7786964298107932,2.9014954919468607,-91056748889421.42,1
"(40100000,)","(40100000,)",7699139,76,50.0127,-20.703685350512785,245.66681111137726,211,4683525874753.061,-348679123476.7975,-1039308953812.7756,96592836367.85028,51.98694801366711,45.12623515644999,56.7769050585743,-65097947579682.65,1
"(40150000,)","(40150000,)",769891173,7698,7.8011,-30.001002856242092,65.1882565251201,208,1469382337987.722,4678358076.410513,-205410380378.6148,182980095753.2801,15.221715252290757,11.326876124437176,20.428545805595974,-17216318156463.389,1
"(40170000,)","(40170000,)",769883,76988,2.2915,-30.969777541676944,47.13053729208116,191,2166086481097.952,71555021481.26266,-230054015867.01947,399046939287.41046,9.082553698743837,4.919825638481356,13.584700344611335,-17555516576457.553,1
"(40185000,)","(40185000,)",7698815,76988,4.6613,-40.03312643736406,51.53213569440875,185,944783749034.3003,-78695139413.96259,-244958454973.28616,22452348480.88793,12.118409039870002,5.085722150591906,15.823693999412683,-11669778257639.973,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,-41.92216664013456,50.36281683700661,205,2328206335381.8613,-22048045050.801674,-324230095541.76965,311076223204.976,8.247897371368325,5.4989143520481605,11.299367490189937,-16109852259870.277,1
"(40300001,)","(40300001,)",7698615,76986,3.1201,-39.086601365228894,59.7314786417112,210,3978082122425.2427,-214542946611.59702,-855740092616.4567,198768578589.80286,11.641457650829636,6.929145196551964,16.21259211693538,-52761186824080.78,1
"(40330000,)","(40330000,)",7698555,7698,20.7338,-17.44558155727714,118.66704005347282,212,6897913117656.306,-539737987343.1264,-1653099365349.4639,18179886153.458393,33.75109430018621,27.945087196461017,38.21216848363933,-99460895336695.3,1
"(40400000,)","(40400000,)",7698417,76984,4.3194,-30.738524634267414,54.5244659343472,204,2779861366975.407,37983544335.984085,-353220883021.959,427133649071.287,10.172839319306433,6.013493129917251,12.528402015492752,-25400508231008.348,1
"(40500000,)","(40500000,)",76982331,76982,0.7619,-46.11041341994131,50.30184389411979,218,3215062991110.4224,-141749850400.73724,-635659976049.7878,194679918563.4359,4.120407966752325,1.748615478443071,9.148345994628002,-43858847618188.375,1
"(40530000,)","(40530000,)",7697451,76974,0.4606,-2055998541614.6592,44.21358359454788,218,6675028223084.333,-403436909309.12366,-1441625845655.5835,251723798129.13263,1.7103314602998623,-3.7275387395762536,4.822795437003367,-91791833613846.81,1
"(40549998,)","(40549998,)",76969233,769692,1.9377,-386389511048.1506,59.49191356252877,206,4397839893769.6035,-115912371756.49803,-816326061918.0494,473396890987.73157,4.889125786990093,0.3658222763824668,8.243474437213663,-46270592214020.82,1
"(40579995,)","(40579995,)",7696955,7696,2.254,-49.02409974476876,52.392931278503475,193,7664132167967.017,-252641895561.5174,-1518308221400.5635,660809742899.8108,8.468726768763673,2.7005051317537436,11.396066708469164,-91436151381602.86,1
"(40680000,)","(40680000,)",76968511,76968,1.91,-38.999076031769114,50.61996272395489,200,4045000070046.4624,152356303474.86694,-311033421037.4631,775479695181.9415,4.579585784372966,1.0087843056687262,8.882800626709766,-17341617161269.527,1
"(40710000,)","(40710000,)",7696777,7696,12.6221,-379990046427.22986,70.09908399144743,191,3438415788519.657,210558244771.9174,-181667913771.3487,786468939804.9958,13.173165665354247,11.204876474713178,19.029199844015523,-12269841978023.873,1
