,codigo,cobacia,cocursodag,q95,RandomForestRegressor_intervalo_i,RandomForestRegressor_intervalo_f,RandomForestRegressor_qtde_dados,RandomForestRegressor_desvio_padrao,RandomForestRegressor_media,RandomForestRegressor_media_lower_bound,RandomForestRegressor_media_upper_bound,RandomForestRegressor_mediana,RandomForestRegressor_mediana_lower_bound,RandomForestRegressor_mediana_upper_bound,RandomForestRegressor_moda,RandomForestRegressor_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,0.4786761375,44.69875175000006,216,13.64687211571005,10.375928801785722,8.66010370696925,12.210287568026628,2.8258544000000008,1.866757375000001,4.104085999999999,0.3952051000000001,1
"(40032000,)","(40032000,)",76999351,76,7.1585,0.8869208650000006,44.50065060125007,208,13.77640903758134,11.093195498420336,9.269573765724594,13.019147303989534,3.3634732499999993,2.86310105,4.260115551874999,0.41299435000000023,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,1.0021432775000008,44.83273026750003,187,15.352022784867236,13.07274853376624,10.945621828564748,15.319899113355621,4.387255500000001,3.8390613,6.085087000000002,0.7630576000000014,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,0.8907655750000002,43.348865271250055,182,13.468648920684135,11.728520185439566,9.780734007458797,13.63573894642171,3.5861790999999994,2.7680520249999994,6.143615349999999,0.6685289999999999,1
"(40050000,)","(40050000,)",7699733,76,30.2281,1.016295255,56.891279960000006,199,17.811523972449457,22.61231608783203,20.17074927041279,25.203823735757375,22.050157000000024,18.380112850000017,25.811790700000003,0.4417335000000002,1
"(40053000,)","(40053000,)",76997231,769972,0.4344,0.47530219999999956,41.20671200000003,201,12.005281541525791,9.690900373933905,8.195369163689591,11.352615456264221,2.3774309,1.447032800000001,5.2433082,0.27358319999999997,0
"(40060001,)","(40060001,)",76996713,76996,4.138,0.9791594800000005,43.34955649500005,189,13.554609521385448,12.180080739871507,10.217919913325778,14.112968695903254,4.201481800000001,3.2986258000000004,6.184899500000004,0.7827734000000011,1
"(40070000,)","(40070000,)",7699531,76,44.5338,1.2152119700000006,244.97031935124963,218,61.83298921013005,54.465278377621246,46.56648739605834,63.11669538932586,32.0539659,28.246332625,37.019077735000046,0.47306060000000033,1
"(40080000,)","(40080000,)",7699435,76994,1.06597,1.1337014200000006,245.65686404000002,209,64.32418968162771,93.74956941900206,85.11435803962321,102.28267363490944,83.43271435000004,79.79139769999996,94.59454860000001,0.6334478999999998,0
"(40100000,)","(40100000,)",7699139,76,50.0127,6.854134725000001,316.43444532499973,211,83.99720617643834,107.85700464867979,97.26155925001187,119.00117062139557,91.58642545000004,82.18514665000001,102.19530245000004,0.9007849714285722,1
"(40150000,)","(40150000,)",769891173,7698,7.8011,1.4256027050000002,273.7038456737499,208,66.3905118136356,102.5338437129636,93.96554732905564,112.06701490668014,88.85908745000002,82.29598105,99.089539275,0.5985259499999994,1
"(40170000,)","(40170000,)",769883,76988,2.2915,0.27577439999999986,43.451318012500046,191,14.174553115145338,12.958200004263281,11.161565933804228,14.931101314535344,5.90147355,3.0646968000000006,9.282554199999998,0.16730099999999987,1
"(40185000,)","(40185000,)",7698815,76988,4.6613,0.24893979999999977,43.70218144000004,185,15.162743107512858,14.013582948185334,11.923510065826258,16.013124472982632,5.077639300000003,1.6215913475000017,15.037944500000004,0.18789679999999995,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,0.11996643999999992,42.913542395000036,205,13.771620368053279,10.391781924355405,8.398887827486067,12.221599055132407,2.0790284,1.2203271999999998,3.903741799999998,0.07880039999999985,1
"(40300001,)","(40300001,)",7698615,76986,3.1201,0.2965797649999996,265.62098757250004,210,70.93878557838104,76.42387263661566,66.15647564162799,85.73103627527082,69.20738142500001,59.598734249999985,80.742431575,0.14184439999999993,1
