,codigo,cobacia,cocursodag,q95,svr_intervalo_i,svr_intervalo_f,svr_qtde_dados,svr_desvio_padrao,svr_media,svr_media_lower_bound,svr_media_upper_bound,svr_mediana,svr_mediana_lower_bound,svr_mediana_upper_bound,svr_moda,svr_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,3.2076767395668084,8.614229007258198,216,1.4349667627471117,5.933159530948907,5.738984712996866,6.113574301165128,5.8849522903474405,5.628518043390387,6.163163986165588,2.4496952668124177,0
"(40032000,)","(40032000,)",76999351,76,7.1585,3.4400956875640496,8.33512336739546,208,1.3776321527233506,5.643300105465049,5.444053877656542,5.822046377959437,5.475331725763511,5.161568892951665,5.836091689966894,2.969337830841507,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,4.335157536513249,9.532052681327277,187,1.3764912656082209,6.91312564697391,6.724125854633129,7.112249592589354,6.854986286107755,6.597529405429808,7.258679830973193,3.7587186359273526,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,3.228554753287042,8.890368485224675,182,1.4829491183933456,5.740924622632219,5.516166151092443,5.960324874823371,5.69968687050861,5.438413124254111,6.0402679083154585,2.7379250680265534,0
"(40050000,)","(40050000,)",7699733,76,30.2281,3.6377399016397045,8.486587164002497,199,1.3103716803890835,5.870854703908242,5.690151168850954,6.052939982601426,5.759453453282167,5.529238417279071,6.010718207055488,3.14051847922304,0
"(40053000,)","(40053000,)",76997231,769972,0.4344,2.985345562631882,9.400024273941629,201,1.711662866465604,6.1956210571077435,5.958806941873038,6.445194119482317,6.340428187129449,6.076646583991441,6.551119891920141,2.6210663890354127,0
"(40060001,)","(40060001,)",76996713,76996,4.138,3.0981004885124586,8.712237714424713,189,1.5226048269541483,5.925406683855293,5.718899643050555,6.126357634256448,6.021871498509619,5.625153356724222,6.281997032713014,2.5720241175818632,1
"(40070000,)","(40070000,)",7699531,76,44.5338,4.107272146623169,10.23242801419213,218,1.6492576063545343,6.692859618311554,6.480279707845533,6.923638080726439,6.407858556002399,6.202989817261776,6.605156354058979,3.6417321492694614,0
"(40080000,)","(40080000,)",7699435,76994,1.06597,5.22657345827439,10.543873856839337,209,1.5479606921858995,7.799148436110262,7.5881576934187525,8.014753815878592,7.778018356560945,7.545753646188674,8.161703986517578,4.738939956502975,0
"(40100000,)","(40100000,)",7699139,76,50.0127,4.394411833741167,12.127524012489193,211,2.153966192819563,7.625511361533377,7.337646002634667,7.940299584217334,7.30443352644331,7.130240060342147,7.695500362779069,3.93031187200335,0
"(40150000,)","(40150000,)",769891173,7698,7.8011,4.674059076466813,10.59978189481233,208,1.6867524635209101,7.232740438123335,7.008460480213448,7.4620816949074715,6.995475256230099,6.646139263280362,7.1971785722660275,3.5794387604793103,1
"(40170000,)","(40170000,)",769883,76988,2.2915,2.7538007343378066,8.975981864537223,191,1.7959055550154535,5.961290413020817,5.721362045433,6.217228894006716,6.114484106022264,5.6587688640198035,6.403522017760541,1.3933649895693012,0
"(40185000,)","(40185000,)",7698815,76988,4.6613,2.6100254540136296,9.041966339965956,185,1.8696363454418594,5.988629965702115,5.739035034032843,6.25101682647193,5.978447245842382,5.711182289755707,6.596054157229292,1.9303963387901337,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,2.1458430205235692,7.566590811398424,205,1.3677175238909882,4.859537914504735,4.675035898549557,5.044417888889993,4.992086631283746,4.701030911736395,5.187623116226289,1.6422534611443496,0
"(40300001,)","(40300001,)",7698615,76986,3.1201,4.024530448450618,9.96783299663652,210,1.6690216183585254,6.959690767302607,6.739653529256971,7.18888699251122,6.82423264929489,6.518691528486497,7.242976766565027,3.589833042392546,0
"(40330000,)","(40330000,)",7698555,7698,20.7338,4.4230146031361635,10.85010881803028,212,1.7584384541035478,7.306063832388604,7.0633224690226175,7.539866984236949,7.099493715184007,6.799321847204281,7.482407437783656,3.3787009352903405,0
"(40400000,)","(40400000,)",7698417,76984,4.3194,4.792519929894589,10.289919153110008,204,1.670445079467221,7.59070961224205,7.36109307279323,7.809559752944234,7.591977350037437,7.242315286858193,7.9843469698152765,3.255085123455184,0
"(40500000,)","(40500000,)",76982331,76982,0.7619,3.0310909820000083,10.468257699686305,218,1.8582643115782524,6.87149536042588,6.6223455018514334,7.117279283002739,7.01276856733878,6.758493806363563,7.233158610840656,2.391080100941485,0
"(40530000,)","(40530000,)",7697451,76974,0.4606,3.606588883853778,10.52538174047349,218,1.872909860296987,6.995177526827433,6.735761474734524,7.238107542305003,7.1645315409813275,6.75503558259284,7.34140563912686,2.9834882183770564,0
"(40549998,)","(40549998,)",76969233,769692,1.9377,2.9454060660675605,9.109736606001537,206,1.5857109506618645,6.139104368063727,5.8991586470997,6.369073493578351,6.146475930035848,5.847666667205424,6.382281207188537,2.3031668311048827,0
"(40579995,)","(40579995,)",7696955,7696,2.254,3.5112525596374238,9.417615674510419,193,1.6773840306425636,6.321990830766719,6.077680671248064,6.547768334643131,6.205270074213768,5.81480684168572,6.532423402537518,2.2404891439833907,0
