,codigo,cobacia,cocursodag,q95,XGBRegressor_intervalo_i,XGBRegressor_intervalo_f,XGBRegressor_qtde_dados,XGBRegressor_desvio_padrao,XGBRegressor_media,XGBRegressor_media_lower_bound,XGBRegressor_media_upper_bound,XGBRegressor_mediana,XGBRegressor_mediana_lower_bound,XGBRegressor_mediana_upper_bound,XGBRegressor_moda,XGBRegressor_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,0.5456949174404144,46.552167892456055,216,13.828252792358398,10.843965,8.975202751159667,12.801688885688781,4.169557571411133,3.011369228363037,4.854497408866882,0.09586319,1
"(40032000,)","(40032000,)",76999351,76,7.1585,1.1792453497648239,45.95754194259643,208,13.394498825073242,12.017318,10.370266580581665,13.96851098537445,5.883382320404053,4.63365364074707,7.018209457397461,-0.6146754,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,1.3397976398468017,45.85708217620849,187,13.849801063537598,14.007318,12.010036849975586,15.978880476951598,7.401680946350098,6.078304433822632,9.24055004119873,-0.6217717,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,1.0036861896514893,47.1930203437805,182,14.04653263092041,12.78733,10.801029372215272,14.93424196243286,6.081485748291016,4.229800701141357,8.200219798088074,-0.4900984,1
"(40050000,)","(40050000,)",7699733,76,30.2281,1.2509925663471222,60.224982261657715,199,19.499557495117188,27.036526,24.325337266922,29.71005811691284,30.04553985595703,24.47974967956543,33.902122497558594,-0.31506062,1
"(40053000,)","(40053000,)",76997231,769972,0.4344,0.43333151936531067,36.331295013427734,201,10.702359199523926,8.840955,7.394938588142395,10.277909564971923,3.338390827178955,2.224097967147827,4.378594875335693,-0.59952694,1
"(40060001,)","(40060001,)",76996713,76996,4.138,0.9420256197452546,46.282291412353494,189,13.933248519897461,13.291775,11.223246216773987,15.31342010498047,6.769282341003418,5.604629993438721,7.553133964538574,-0.627686,1
"(40070000,)","(40070000,)",7699531,76,44.5338,1.6053285032510758,139.203335189819,218,35.26448059082031,37.01668,32.26840438842773,41.88982133865356,32.40299606323242,30.650482177734375,34.52577590942383,0.53031605,1
"(40080000,)","(40080000,)",7699435,76994,1.06597,1.1014339208602906,114.64057006835937,209,27.46854591369629,19.699173,16.216867780685426,23.676163911819458,8.007803916931152,6.3695831298828125,11.109362602233887,0.13536783,0
"(40100000,)","(40100000,)",7699139,76,50.0127,9.07966947555542,265.2428512573242,211,63.61186981201172,55.144394,47.17352170944214,64.32337379455566,37.868526458740234,35.49237060546875,40.299747467041016,0.869116,1
"(40150000,)","(40150000,)",769891173,7698,7.8011,0.6053730905056001,116.21730861663816,208,27.935632705688477,24.314495,20.677821683883668,27.916876411437986,17.309284210205078,11.468194365501404,21.097043991088867,0.27497607,1
"(40170000,)","(40170000,)",769883,76988,2.2915,0.05834140907973051,38.999857902526855,191,12.702031135559082,11.50861,9.675635242462159,13.262185192108152,4.53442907333374,2.60019850730896,7.6851706266403115,-0.40516356,1
"(40185000,)","(40185000,)",7698815,76988,4.6613,0.17684102654457096,41.67696228027345,185,13.935583114624023,12.72254,10.8533625125885,14.646818065643311,3.7702438831329346,2.442690372467041,9.196101188659668,-0.28534895,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,0.006753973104059705,46.38452835083008,205,14.127884864807129,10.32039,8.548860383033752,12.304450345039367,2.026577949523926,1.4922934979200364,3.2538626194000244,-0.34374136,1
"(40300001,)","(40300001,)",7698615,76986,3.1201,0.11184805762022736,51.615578746795656,210,19.294822692871094,15.920743,13.331777882575988,18.89257197380066,5.753894805908203,4.3002214431762695,10.809195351600646,-0.5047837,1
"(40330000,)","(40330000,)",7698555,7698,20.7338,1.5575982570648192,131.13588314056392,212,35.94234848022461,37.31518,32.64945201873779,42.37891139984131,32.612144470214844,29.800046920776367,36.1997875213623,0.58998144,1
"(40400000,)","(40400000,)",7698417,76984,4.3194,0.37991866320371626,116.71378059387202,204,26.740001678466797,19.776907,16.202257490158082,23.692841243743892,9.493111610412598,5.906921601295471,14.790048146247855,0.106435224,1
"(40500000,)","(40500000,)",76982331,76982,0.7619,0.02416573343798519,37.175226116180404,218,10.973647117614746,8.747744,7.416069304943084,10.2283305644989,2.600579261779785,1.8062726706266403,3.985518455505371,-0.33346167,1
"(40530000,)","(40530000,)",7697451,76974,0.4606,0.1792370662093163,37.90653142929077,218,10.959144592285156,8.831388,7.48313068151474,10.20333902835846,2.670043468475342,1.9142544269561768,3.8512043952941895,-0.28715917,1
"(40549998,)","(40549998,)",76969233,769692,1.9377,1.0579128861427307,44.42589521408081,206,12.315844535827637,12.102479,10.433087849617005,13.636612200737,6.6644487380981445,6.0172929763793945,7.7723307609558105,0.37237105,1
"(40579995,)","(40579995,)",7696955,7696,2.254,1.0215138435363769,39.71844253540038,193,12.541840553283691,12.316469,10.634321093559265,14.036201071739196,6.9387993812561035,6.100259780883789,8.066814517974846,0.41557005,1
"(40680000,)","(40680000,)",76968511,76968,1.91,0.5913974821567536,40.84660263061524,200,11.488951683044434,10.656837,9.150012302398682,12.29057002067566,5.35922908782959,4.454773724079132,6.7544660568237305,0.1382184,1
"(40710000,)","(40710000,)",7696777,7696,12.6221,1.1248864531517029,46.46876525878906,191,15.089372634887695,17.154438,15.029997897148132,19.165952253341676,11.83650016784668,8.791340827941895,17.890378952026367,0.817975,1
"(40740000,)","(40740000,)",76967351,7696,16.2733,1.155507105588913,50.72284145355224,207,16.120906829833984,18.764362,16.675767993927003,20.854981708526612,17.839553833007812,10.273040771484375,20.540393829345703,0.33943683,1
"(40800001,)","(40800001,)",7696573,7696,19.7695,1.1972904622554779,85.81876049041747,192,26.585031509399414,25.407095,21.788067531585693,29.245177984237667,22.575931549072266,20.696587657928468,25.51300811767578,0.58773184,1
"(40810350,)","(40810350,)",7696568,7696568,0.036,0.08841829989105462,43.72231082916259,204,13.60636043548584,9.556069,7.573661291599274,11.418373918533325,1.6423823833465576,1.2280070781707764,2.1064951419830322,-0.65045357,0
"(40810800,)","(40810800,)",76965675,769656,0.0785,0.08908667396754028,42.76630725860594,199,12.663354873657227,8.895179,7.21459858417511,10.663537335395812,1.721604824066162,1.2923146486282349,2.3316429018974265,-0.29013747,0
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,0.08567478880286217,38.46964454650878,229,12.057435035705566,8.381169,6.853099608421326,9.963471341133118,1.7497690916061401,1.3095983743667603,2.1955156326293945,-0.38940486,1
"(40822995,)","(40822995,)",76965623,7696562,0.1309,0.025830824114382277,45.734637069702146,203,13.91873836517334,9.585205,7.7728707671165465,11.43835756778717,1.789713978767395,1.4744040966033936,2.3297536373138428,-0.37173054,1
"(40823500,)","(40823500,)",769656213,7696562,0.2903,0.06938748247921467,44.15660381317139,191,12.222535133361816,8.473905,6.7962883591651915,10.23279857635498,1.8173584938049316,1.5086669921875,2.326478958129883,-0.35965994,1
"(40850000,)","(40850000,)",7696397,7696,25.3048,1.5931187123060226,155.90043830871582,196,37.36867904663086,35.260296,30.363207149505616,40.30218429565429,31.63357162475586,27.236736297607422,34.802734375,0.56776524,1
"(40930000,)","(40930000,)",76958597,76958,2.27,0.8184325560927392,46.489590358734134,200,11.815508842468262,10.611364,9.042000770568848,12.238643479347228,5.696106910705566,4.5106611251831055,6.616160869598389,-0.28561205,1
"(40960000,)","(40960000,)",769583715,76958,4.744,0.584279465675354,45.518811988830564,192,13.781764030456543,14.713775,12.843001508712769,16.66167860031128,8.723140716552734,6.208072662353516,14.49300765991211,0.06993568,1
"(40963000,)","(40963000,)",7695835177,76958,4.3,0.45658349990844727,46.02687072753906,206,14.469301223754883,14.237632,12.267845225334167,16.295034646987915,7.396452903747559,5.390582513809204,10.099990415573117,-0.49620613,1
"(40975000,)","(40975000,)",769565991,76956,1.8049,0.12568310741335154,40.54658269882202,186,14.13379192352295,10.70071,8.82231171131134,12.861882114410399,3.234128952026367,2.17701398730278,5.887712001800537,-0.07715629,1
"(41020002,)","(41020002,)",7695557,76,267.5,29.61582283973694,473.53124008178753,200,131.97158813476562,166.95883,150.55182228088378,185.1346981048584,146.020751953125,124.68445587158203,153.87963523864747,24.541481,1
"(41050000,)","(41050000,)",76954793,76954,2.8698,0.126963309943676,40.28806257247925,186,11.985527038574219,9.352592,7.747034204006195,11.25654363632202,2.7306923866271973,1.7899970293045044,3.953254461288452,-0.7110233,1
"(41075001,)","(41075001,)",769543991,76954,9.669585,0.407257504761219,56.533820152282715,186,17.681699752807617,20.359875,17.892978811264037,23.099490880966187,21.517669677734375,17.477379846572877,23.77906608581543,0.09585711,1
"(41135000,)","(41135000,)",76951173,76,230.307,35.67204818725586,598.3469604492182,193,155.0494842529297,217.74406,197.52315406799318,237.90779495239258,259.15447998046875,146.21775817871094,266.1678161621094,24.080431,1
"(41150000,)","(41150000,)",769499975,7694,1.46,0.6590745657682419,45.447273540496795,178,12.966697692871094,11.362297,9.570746159553527,13.360437417030335,5.691559791564941,4.943234920501709,7.488132750988006,0.2414897,1
"(41151000,)","(41151000,)",769499975,7694,0.8705000000000002,1.1465106308460236,35.088440895080566,191,10.132095336914062,10.332723,8.90204939842224,11.776457595825194,6.251365661621094,5.2840752601623535,7.186944484710693,0.2414897,0
"(41180000,)","(41180000,)",76949983,7694998,3.4419,0.9187731742858887,39.323646545410156,181,11.752767562866211,10.694369,9.147648215293884,12.511407947540283,5.363461017608643,4.4406455755233765,6.33773946762085,0.67585486,1
"(41199998,)","(41199998,)",769499571,7694,11.5124,0.9667143225669861,43.41307935714721,212,17.3481502532959,12.802427,10.595062637329102,15.165501022338866,4.461954593658447,3.3934104442596436,6.89668083190918,0.16651708,1
"(41250000,)","(41250000,)",76949831,769498,1.3317,0.06325649470090866,40.838640213012695,191,12.667728424072266,9.640606,7.824922239780426,11.480818438529967,2.1577653884887695,1.4277106523513794,4.946849346160889,-0.83603096,1
"(41260000,)","(41260000,)",7694977,7694,18.8523,0.8744530752301216,48.37526626586914,220,14.81185245513916,20.333118,18.28343744277954,22.333155727386476,20.374767303466797,18.02817153930664,22.20932388305664,-0.19186117,1
"(41300000,)","(41300000,)",76949639,769496,1.523,0.35463796705007555,41.173894023895265,212,11.677271842956543,8.839308,7.3125195145607,10.458568906784057,2.732072591781616,1.9906787276268005,3.578718423843384,-0.35173592,1
"(41340000,)","(41340000,)",76949597,7694,21.8598,1.1026545286178588,48.3238868713379,175,15.344910621643066,20.59044,18.513636207580568,22.717346239089967,20.82360076904297,17.127618932724,22.95039176940918,0.41096458,1
"(41380000,)","(41380000,)",769495811,7694958,0.98,0.10735957827419046,45.822997474670416,220,13.170574188232422,10.472552,8.753868579864502,12.252593064308165,3.0479702949523926,1.6153289079666138,5.248514175415039,-0.4413473,1
"(41410000,)","(41410000,)",769495597,7694,26.3377,0.889584156870842,79.7475357055664,192,29.753673553466797,28.301931,24.44993886947632,33.05853853225708,24.534542083740234,22.34453773498535,27.235002517700195,0.385224,1
"(41440005,)","(41440005,)",769495675,7694956,0.5381,0.14173586666584015,40.833071804046625,208,13.007640838623047,8.888886,7.143219351768494,10.655382227897643,1.5805226564407349,1.279860258102417,2.7233667373657227,-0.27831745,1
"(41539998,)","(41539998,)",769495633,7694956,1.4889,-0.17500988245010374,35.145946693420434,175,10.610228538513184,7.1121387,5.571608912944794,8.669451928138733,1.3499456644058228,0.9856113746762276,1.9427729845046997,-0.76343995,1
"(41600000,)","(41600000,)",769495513,7694,27.9617,0.8157011404633522,119.84392509460449,192,33.71730422973633,35.9389,31.16920485496521,41.02278213500976,31.316883087158203,27.41213150024414,35.22771072387695,0.3918678,1
"(41650002,)","(41650002,)",7694937,7694,30.8772,2.042997479438782,157.08720092773433,193,43.12150955200195,45.320415,39.86620206832886,51.61773872375488,34.456207275390625,31.913890838623047,37.526084899902344,0.78061956,1
"(41685000,)","(41685000,)",769492513,769492,0.0535,-0.15857856478542087,106.8550323486328,204,26.277315139770508,15.617835,11.996092534065246,19.090111255645752,4.157811164855957,3.17840838432312,6.987954795360564,-1.0860717,1
"(41780002,)","(41780002,)",7694837,76948,8.7703,0.16077483352273703,44.41372728347778,196,16.00677490234375,17.091793,14.947994327545166,19.451497554779053,14.954212188720703,8.640161514282227,20.18937110900879,-0.7008975,1
"(41818000,)","(41818000,)",7694713,7694,41.95629000000001,5.51731266975403,278.7908401489259,195,92.46029663085938,65.71153,53.75762014389038,79.97252082824707,36.71653366088867,33.49988555908203,40.0128059387207,1.1802217,1
"(41890000,)","(41890000,)",7694439,76944,1.0565,-1.0900695204734803,112.39448852539063,200,32.002628326416016,19.736357,15.281310772895813,24.39907574653625,4.185807228088379,3.0084597945213316,9.79182243347168,-1.5425012,1
"(41940000,)","(41940000,)",76942133,76942,0.3474,-0.6089181736111641,48.67274007797242,180,16.345937728881836,10.290219,8.167816877365112,12.755479717254637,1.8396856784820557,1.2420603722333907,2.722585678100586,-0.8742463,1
"(41990000,)","(41990000,)",76941371,7694,49.4681,18.688994932174683,347.8602043151854,214,107.35952758789062,108.60368,94.57118282318115,124.02040691375731,61.646453857421875,49.12281036376953,76.39039916992186,5.541968,1
"(42089998,)","(42089998,)",769257,7692,0.9925,-0.8176688909530639,171.5075462341309,195,43.14492416381836,27.66717,22.282982969284056,34.1359806060791,10.520623207092285,5.199282646179199,18.450475692749023,-1.567647,1
"(42100000,)","(42100000,)",7692453,76924,0.265,-0.68866166472435,46.7926549911499,206,13.65627670288086,9.976587,8.248420310020446,11.800556206703185,4.091057300567627,2.943775248527527,4.882238388061523,-1.3566519,1
"(42145498,)","(42145498,)",769235,7692,1.4438,-0.5447468549013138,105.32809467315663,204,35.77389907836914,25.37733,20.655107021331787,30.78519206047058,14.055274963378906,8.109235286712646,22.02638816833496,-1.3752922,1
"(42187000,)","(42187000,)",76912733,76912,0.9316,-0.7366730093955993,53.22506179809569,209,16.962574005126953,11.876728,9.585221815109254,14.158682489395142,3.092120885848999,2.5034821033477783,3.6583104133605957,-2.931862,1
"(42210000,)","(42210000,)",7691133,76,351.6975,95.0186414718628,689.0922241210938,186,147.5355224609375,291.54398,270.5497528076172,312.51359634399415,238.21176147460938,234.327237701416,242.2347442626953,25.970455,1
"(42250000,)","(42250000,)",76899393,768,1.3146,-0.05118446480482816,36.99390039443969,182,12.180214881896973,8.781101,7.047172653675079,10.454052019119262,1.7447221279144287,1.272729516029358,2.7224312841892235,-1.0372243,1
"(42251000,)","(42251000,)",7689577,768,4.2191,-0.5478414431214332,38.099859046936025,184,11.329486846923828,9.548945,7.9230928182601925,11.303826308250427,3.411029815673828,2.04732608795166,7.131659531593321,-2.2868826,1
"(42255000,)","(42255000,)",768944393,768944,0.5634,-0.5980423390865326,32.05958595275878,197,9.580820083618164,6.27865,4.938055968284607,7.667055523395538,1.327228307723999,1.0828200578689575,2.065369290113449,-1.1622703,1
"(42257000,)","(42257000,)",7689411,76894,3.9056,-0.35299747437238693,36.12967872619629,186,12.073010444641113,9.945215,8.370924639701844,11.735554575920105,2.5860671997070312,1.9081615209579468,5.684822690486908,-0.8260619,1
"(42290000,)","(42290000,)",768911,768,14.04103499999995,0.9175748229026794,128.088931274414,177,42.555992126464844,34.0394,28.313287591934206,40.66129474639892,26.566829681396484,24.06133270263672,29.6179256439209,0.24970275,1
"(42365000,)","(42365000,)",7688133,7688,9.8188,0.18765338137745857,38.91674470901489,216,12.113472938537598,12.676418,11.007368159294128,14.281799459457398,11.695232391357422,6.208008766174316,13.976215362548828,-1.7258189,1
"(42395000,)","(42395000,)",768755,768,24.3336,1.1811249136924746,271.9533325195312,213,69.04825592041016,48.663567,40.05621252059937,58.591306781768786,31.035011291503906,28.013324737548828,33.60635757446289,-0.60143375,1
