,codigo,cobacia,cocursodag,q95,XGBRFRegressor_intervalo_i,XGBRFRegressor_intervalo_f,XGBRFRegressor_qtde_dados,XGBRFRegressor_desvio_padrao,XGBRFRegressor_media,XGBRFRegressor_media_lower_bound,XGBRFRegressor_media_upper_bound,XGBRFRegressor_mediana,XGBRFRegressor_mediana_lower_bound,XGBRFRegressor_mediana_upper_bound,XGBRFRegressor_moda,XGBRFRegressor_dentro_intervalo
"(40025000,)","(40025000,)",7699871,76998,2.601039999999997,0.8850753381848335,48.08054256439209,216,14.386642456054688,10.756242,8.898268246650696,12.796659278869628,2.7658629417419434,2.1251222133636474,4.426904201507568,0.62334394,1
"(40032000,)","(40032000,)",76999351,76,7.1585,0.9799044281244278,47.710136318206786,208,14.559136390686035,11.247072,9.410137605667114,13.115113162994385,3.3627371788024902,2.7237644255161286,4.081572794914244,0.7300967,1
"(40037000,)","(40037000,)",76999211,769992,4.9898,1.0354804217815399,46.752213096618654,187,13.879335403442383,12.545188,10.623472642898559,14.579930114746093,4.6432342529296875,3.8831610679626465,5.650996208190918,0.71768534,1
"(40040000,)","(40040000,)",769978931,769978,1.143840000000003,1.2022235155105592,48.21451988220215,182,14.230555534362793,12.071833,10.265339756011963,14.09830777645111,3.78949236869812,2.9130228400230407,6.190711760520932,0.7278742,0
"(40050000,)","(40050000,)",7699733,76,30.2281,1.0185703337192535,56.634479331970205,199,18.091354370117188,23.2657,20.844214344024657,25.651190996170044,23.648712158203125,20.1657657623291,26.98416285514831,0.8291971,1
"(40053000,)","(40053000,)",76997231,769972,0.4344,0.7950339317321777,41.79624938964844,201,11.92484188079834,9.49513,7.901077008247375,11.278049182891845,2.1541996002197266,1.2462022304534912,5.7320661544799805,0.6616057,0
"(40060001,)","(40060001,)",76996713,76996,4.138,0.9161196827888489,47.17667617797851,189,14.371699333190918,12.552897,10.558491468429565,14.520704984664917,4.340648651123047,3.725126028060913,5.850255966186523,0.71721095,1
"(40070000,)","(40070000,)",7699531,76,44.5338,1.1614891320466996,156.82547111511212,218,40.21220016479492,39.012573,33.681503772735596,44.76164283752441,29.59784698486328,26.884132385253906,35.039337158203125,0.7858959,1
"(40080000,)","(40080000,)",7699435,76994,1.06597,1.1264855861663818,130.46113281249995,209,36.02765655517578,40.29928,35.5629222869873,45.31111783981323,31.154985427856445,25.960613250732422,34.393699645996094,0.82985705,0
"(40100000,)","(40100000,)",7699139,76,50.0127,6.52325177192688,275.8620262145996,211,70.24042510986328,69.39618,60.673793125152585,79.07826805114746,49.22923278808594,45.70880126953125,53.09056854248047,1.0477426,1
"(40150000,)","(40150000,)",769891173,7698,7.8011,1.1793693840503694,133.12993888854982,208,36.41770935058594,44.799118,40.27535524368286,49.62003889083862,34.15270233154297,29.703289031982422,37.99017066955567,0.82961446,1
"(40170000,)","(40170000,)",769883,76988,2.2915,0.6755221635103226,44.36307716369629,191,13.778581619262695,12.633127,10.835078191757201,14.575324153900146,5.918591499328613,2.9235711097717285,8.230731964111328,0.5305364,1
"(40185000,)","(40185000,)",7698815,76988,4.6613,0.6321890830993653,47.210416412353524,185,15.521925926208496,13.94772,11.70446228981018,16.204111433029173,5.282799243927002,1.413130760192871,11.650745391845703,0.43408644,1
"(40269900,)","(40269900,)",76986931,76986,0.6751,0.6097163379192352,46.80135574340821,205,14.378907203674316,10.822592,8.935606431961059,12.841607785224914,1.8542499542236328,1.235231637954712,3.4901463985443115,0.41369307,1
