,index,q95,rodada,y_pred_XGBRegressor
0,112,38.6483,0,30.273188
1,58,49.4681,0,38.064945
2,136,0.1093,0,-2.3602169
3,31,2.27,0,4.0037837
4,131,65.8824,0,22.828573
5,36,2.8698,0,1.4427577
6,108,521.196,0,592.319
7,132,63.9294,0,45.928013
8,85,72.7823,0,60.56322
9,145,710.2378499999994,0,782.22437
10,37,9.669585,0,14.411566
11,43,1.3317,0,1.1660045
12,114,116.727,0,52.567944
13,19,1.9377,0,4.239022
14,106,64.84307000000018,0,40.81383
15,104,60.6356,0,36.30298
16,63,351.6975,0,231.41115
17,82,0.8080000000000002,0,0.7820647
18,69,9.8188,0,3.932079
19,65,4.2191,0,0.95255774
20,124,44.9176,0,49.48511
21,135,0.0813,0,-2.295602
22,86,417.366,0,231.47258
23,54,8.7703,0,9.745775
24,48,26.3377,0,24.323156
25,89,14.256,0,23.45454
26,70,24.3336,0,28.515892
27,32,4.744,0,4.316832
28,41,3.4419,0,3.3070903
29,61,1.4438,0,10.44413
0,101,0.0,1,59.85724
1,3,1.143840000000003,1,1.4774033
2,27,0.1986199999999995,1,0.08157811
3,55,41.95629000000001,1,34.492386
4,32,4.744,1,5.4497976
5,36,2.8698,1,0.18954945
6,62,0.9316,1,-0.17659837
7,87,3.9026,1,2.6784306
8,99,0.2635,1,-0.2530623
9,140,0.0,1,-0.23889574
10,39,1.46,1,0.8704519
11,38,230.307,1,267.81686
12,24,19.7695,1,24.26094
13,135,0.0813,1,-0.197347
14,111,30.2317,1,26.946026
15,123,22.3438,1,21.14746
16,65,4.2191,1,2.2013886
17,41,3.4419,1,1.4449052
18,51,27.9617,1,21.928606
19,94,480.486,1,417.61435
20,67,3.9056,1,1.9579875
21,122,1.7296,1,1.2673512
22,64,1.3146,1,0.85442376
23,147,0.0,1,0.29684573
24,25,0.036,1,0.10231789
25,129,91.2264,1,98.55046
26,126,26.5578,1,40.663452
27,71,1.5634,1,2.4425282
28,72,1.2908,1,0.3876084
29,28,0.1309,1,0.10455651
0,131,65.8824,2,39.618855
1,51,27.9617,2,26.567062
2,138,819.714,2,649.7205
3,136,0.1093,2,0.80132985
4,143,0.0,2,-0.010014697
5,5,0.4344,2,1.5434884
