,index,q95,rodada,y_pred_XGBRFRegressor
0,112,38.6483,0,24.41873
1,58,49.4681,0,31.618235
2,136,0.1093,0,1.1327636
3,31,2.27,0,3.6445882
4,131,65.8824,0,23.455996
5,36,2.8698,0,2.1043394
6,108,521.196,0,610.26953
7,132,63.9294,0,26.4827
8,85,72.7823,0,105.26541
9,145,710.2378499999994,0,797.6959
10,37,9.669585,0,20.72112
11,43,1.3317,0,1.0076927
12,114,116.727,0,35.58823
13,19,1.9377,0,1.290875
14,106,64.84307000000018,0,24.70725
15,104,60.6356,0,24.74436
16,63,351.6975,0,270.7707
17,82,0.8080000000000002,0,0.8577819
18,69,9.8188,0,8.171317
19,65,4.2191,0,4.5813775
20,124,44.9176,0,28.087433
21,135,0.0813,0,1.224024
22,86,417.366,0,270.7707
23,54,8.7703,0,9.934042
24,48,26.3377,0,22.343014
25,89,14.256,0,28.612982
26,70,24.3336,0,26.17439
27,32,4.744,0,4.687116
28,41,3.4419,0,1.1438947
29,61,1.4438,0,18.433237
0,101,0.0,1,59.289734
1,3,1.143840000000003,1,1.4754039
2,27,0.1986199999999995,1,0.88322186
3,55,41.95629000000001,1,35.60238
4,32,4.744,1,5.0379224
5,36,2.8698,1,2.5260592
6,62,0.9316,1,1.0341195
7,87,3.9026,1,7.400456
8,99,0.2635,1,2.8265128
9,140,0.0,1,0.693455
10,39,1.46,1,0.8603289
11,38,230.307,1,302.3179
12,24,19.7695,1,20.913965
13,135,0.0813,1,0.9832336
14,111,30.2317,1,17.943783
15,123,22.3438,1,21.526943
16,65,4.2191,1,4.9542317
17,41,3.4419,1,1.1362494
18,51,27.9617,1,20.462067
19,94,480.486,1,440.0253
20,67,3.9056,1,5.162811
21,122,1.7296,1,5.611004
22,64,1.3146,1,1.1387748
23,147,0.0,1,0.6972935
24,25,0.036,1,0.88322186
25,129,91.2264,1,101.93541
26,126,26.5578,1,30.38535
27,71,1.5634,1,3.3471913
28,72,1.2908,1,1.0583066
29,28,0.1309,1,0.88322186
0,131,65.8824,2,51.062756
1,51,27.9617,2,22.927355
2,138,819.714,2,673.30853
3,136,0.1093,2,3.2627456
4,143,0.0,2,0.5647218
5,5,0.4344,2,1.5597897
6,20,2.254,2,1.7889452
7,137,893.539,2,682.416
8,40,0.8705000000000002,2,1.4241335
9,44,18.8523,2,15.527191
10,115,100.569,2,110.18452
11,96,539.255,2,486.27203
12,112,38.6483,2,24.196505
13,126,26.5578,2,28.51462
14,148,804.869,2,776.8838
15,38,230.307,2,149.22505
16,74,14.6056,2,20.256865
17,120,12.7955,2,18.904915
18,100,0.0224,2,13.98443
19,35,267.5,2,149.22505
20,128,90.0729,2,86.51161
21,141,806.112,2,673.30853
22,65,4.2191,2,4.3864036
23,125,4.1632,2,11.515328
24,122,1.7296,2,5.9130683
25,16,4.3194,2,3.9771988
26,53,0.0535,2,0.7626312
27,111,30.2317,2,21.031404
28,145,710.2378499999994,2,702.5927
29,76,0.9202,2,1.1644659
0,56,1.0565,3,1.8870485
1,148,804.869,3,753.92334
2,127,92.2362,3,81.718834
3,135,0.0813,3,1.5000141
4,49,0.5381,3,0.93964255
5,68,14.04103499999995,3,26.089579
6,96,539.255,3,487.84967
7,2,4.9898,3,3.841538
8,87,3.9026,3,8.153195
9,128,90.0729,3,80.54599
10,47,0.98,3,1.108626
11,60,0.265,3,0.9731566
12,89,14.256,3,34.52822
13,45,1.523,3,1.2316997
14,79,19.0626,3,33.50105
15,5,0.4344,3,1.2599247
16,37,9.669585,3,19.022463
17,30,25.3048,3,30.251389
18,24,19.7695,3,21.9602
19,53,0.0535,3,0.9731566
20,141,806.112,3,802.03906
21,83,4.8713,3,14.940194
22,117,653.749,3,661.2022
23,54,8.7703,3,15.977267
24,8,1.06597,3,2.2412012
25,51,27.9617,3,25.622278
26,74,14.6056,3,20.933811
27,107,592.418,3,506.56232
28,32,4.744,3,5.2587566
29,25,0.036,3,0.8926436
0,90,21.952,4,30.825163
1,12,4.6613,4,5.35773
2,48,26.3377,4,22.802809
3,131,65.8824,4,40.35523
4,14,3.1201,4,2.8659787
5,30,25.3048,4,25.413963
6,129,91.2264,4,96.080475
7,108,521.196,4,613.88354
8,78,1.1114,4,1.5239115
9,136,0.1093,4,3.2431483
10,82,0.8080000000000002,4,0.79454803
11,0,2.601039999999997,4,1.371037
12,47,0.98,4,1.3988295
13,58,49.4681,4,46.396492
14,44,18.8523,4,15.743818
15,18,0.4606,4,1.5152464
16,102,29.2342,4,22.871136
17,54,8.7703,4,10.062983
18,146,781.017,4,747.32086
19,28,0.1309,4,0.8570843
